model,noise_level,model_seed,checkpoint_epoch,split,segment,target,n_positions,macro_candidate_auc,pooled_candidate_auc,valid_invalid_pairwise_win_rate,top1_valid_filling_accuracy,tie_aware_top1_accuracy,mrr_first_valid_filling,mean_valid_minus_invalid_logit_margin,random_choice_reference,macro_candidate_auc_ci_lo,macro_candidate_auc_ci_hi,top1_valid_filling_accuracy_ci_lo,top1_valid_filling_accuracy_ci_hi,bootstrap_clusters,bootstrap_replicates,excluded_empty_target_positions,excluded_all_valid_positions,source_file
bert_lora,0.0,9950,20,test,all_targets,mixed,77882,1.0,0.999999999538576,1.0,1.0,1.0,1.0,12.982561798646245,0.5,1.0,1.0,1.0,1.0,9489,1000,,,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p0_s9950_a032debace/hole_repair_metrics_test.csv
bert_lora,0.0,9950,20,test,target_0,0,38941,1.0,0.9999999996173632,1.0,1.0,1.0,1.0,12.982561798646245,0.8175770840699836,1.0,1.0,1.0,1.0,9489,1000,51258.0,109801.0,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p0_s9950_a032debace/hole_repair_metrics_test.csv
bert_lora,0.0,9950,20,test,target_1,1,38941,1.0,0.999999999617363,1.0,1.0,1.0,1.0,12.982561798646245,0.1824229159300164,1.0,1.0,1.0,1.0,9489,1000,109801.0,51258.0,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p0_s9950_a032debace/hole_repair_metrics_test.csv
bert_lora,0.0,9950,20,test,create_compliance,mixed,31859,1.0,0.9999999999875828,1.0,1.0,1.0,1.0,13.053944528437764,0.1358171945133243,1.0,1.0,1.0,1.0,7013,1000,,,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p0_s9950_a032debace/hole_repair_metrics_test.csv
bert_lora,0.0,9950,20,test,destroy_compliance,mixed,7082,1.0,0.999999999133802,1.0,1.0,1.0,1.0,12.661440309176031,0.6079171463949775,1.0,1.0,1.0,1.0,2476,1000,,,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p0_s9950_a032debace/hole_repair_metrics_test.csv
bert_lora,0.0,9950,20,test,preserve_base_label,mixed,38941,1.0,0.9999999997286052,1.0,1.0,1.0,1.0,12.982561798646245,0.7783244079307355,1.0,1.0,1.0,1.0,9489,1000,,,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p0_s9950_a032debace/hole_repair_metrics_test.csv
bert_lora,0.3,9950,20,test,all_targets,mixed,77882,0.9605238038542268,0.9017055131232016,0.9605238038542268,0.964561772938548,0.9647169221814196,0.9767244553617006,0.3642824561517651,0.5,0.958567685989492,0.9624007355238025,0.962681873177482,0.9664267700057908,9489,1000,,,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p3_s9950_4e1288c85a/hole_repair_metrics_test.csv
bert_lora,0.3,9950,20,test,target_0,0,38941,0.9605238038542268,0.8905600019764598,0.9605238038542268,0.9741660460696951,0.9743179853282318,0.9831736707181068,0.3642824561517651,0.8175770840699836,0.9586052844027796,0.9622868256079076,0.9722127259432554,0.9759980913542008,9489,1000,51258.0,109801.0,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p3_s9950_4e1288c85a/hole_repair_metrics_test.csv
bert_lora,0.3,9950,20,test,target_1,1,38941,0.9605238038542268,0.8905600019764598,0.9605238038542268,0.954957499807401,0.9551158590346078,0.970275240005294,0.3642824561517651,0.1824229159300164,0.9586344699907632,0.9625041038584762,0.9520963499340228,0.9575896906508398,9489,1000,109801.0,51258.0,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p3_s9950_4e1288c85a/hole_repair_metrics_test.csv
bert_lora,0.3,9950,20,test,create_compliance,mixed,31859,0.9681648717835016,0.8934653194277355,0.9681648717835016,0.9517561756489532,0.951907885788422,0.968061507675974,0.3843113294154489,0.1358171945133243,0.9658547426753928,0.9701263064512442,0.948687818544589,0.9547670401628094,7013,1000,,,/fp/homes01/u01/ec-michelec/LLMSeq-FOX/results/oc_hole_audit/runs/evaluation/bert_lora_pi0p3_s9950_4e1288c85a/hole_repair_metrics_test.csv
